DEPARTAMENTO,MUNICIPIO,CAPACIDAD MW,TEMPERATURA MINIMA ANUAL,ELEVACIÓN (m),TEMPERATURA MEDIA ANUAL,PROMEDIO DE DIAS DE LLUVIA ANUAL,TEMPERATURA MAXIMA ANUAL
AMAZONAS,EL ENCANTO,,,,,191.11367132132045,
AMAZONAS,LA PEDRERA,,,,,216.04954151812333,
AMAZONAS,LETICIA,2.06216,22.748212578175735,84.0,26.068668637535154,206.37311212494404,31.011029752312567
AMAZONAS,MIRITI-PARANA,,,,,207.95399727888912,
AMAZONAS,PUERTO ALEGRIA,,,,,197.72625228603573,
AMAZONAS,PUERTO ARICA,,,,,174.18063322084143,
AMAZONAS,PUERTO NARINO,,,,,156.4149097563708,
AMAZONAS,SANTANDER,,,,,242.9,
AMAZONAS,TARAPACA,,,,,188.0657446728196,
ANTIOQUIA,ABEJORRAL,,,,,177.84787217639126,
ANTIOQUIA,ABRIAQUI,,,,,200.6370112242501,
ANTIOQUIA,ALEJANDRIA,,15.100352441090989,1712.0,19.617907118709805,244.2112147266314,24.708828320388704
ANTIOQUIA,AMALFI,,,,,188.7290898076322,
ANTIOQUIA,ANDES,,16.78680933224651,,,199.08731882369804,28.586896571693035
ANTIOQUIA,ANGOSTURA,,,,,150.306806923919,
ANTIOQUIA,ANORI,,15.584200129112402,,,211.34108213462832,
ANTIOQUIA,ANZA,,,,,142.45714696223314,
ANTIOQUIA,APARTADO,0.44,23.464577144026915,,,165.28819112032548,31.511088434559955
ANTIOQUIA,ARBOLETES,,,,,68.84871562576674,
ANTIOQUIA,ARMENIA,,,,,174.86293268595585,
ANTIOQUIA,BELLO,,17.38542069151886,,,162.0092077175698,
ANTIOQUIA,BELMIRA,,,,,223.99189897267485,
ANTIOQUIA,BETULIA,,,,,141.44955549421513,
ANTIOQUIA,BRICENO,,,,,241.46218409376107,
ANTIOQUIA,CACERES,,,,,148.04674565426646,
ANTIOQUIA,CAICEDO,,,,,141.18961891340408,
ANTIOQUIA,CALDAS,,,,,212.49425974545434,23.43845551807156
ANTIOQUIA,CANASGORDAS,,16.41769803468992,,,185.47154280946705,27.153777712874156
ANTIOQUIA,CARAMANTA,,,,,170.11158530296777,
ANTIOQUIA,CAREPA,,23.57527639470455,,,170.22143450100344,31.492227119182477
ANTIOQUIA,CARMEN DE VIBORAL,,,,,198.0066502463054,
ANTIOQUIA,CAUCASIA,,,,,153.29560616453574,
ANTIOQUIA,CHIGORODO,,,,,157.45981172195394,
ANTIOQUIA,CIUDAD BOLIVAR,,13.37543861546972,2018.0,16.935975429583692,213.72368595018042,21.3281881441749
ANTIOQUIA,COCORNA,,,,,244.00090654077724,
ANTIOQUIA,CONCEPCION,,,,,211.01434318555005,
ANTIOQUIA,CONCORDIA,,14.524308257451324,,,179.26742848630275,23.700405650431946
ANTIOQUIA,DABEIBA,,,,,122.12436620026968,
ANTIOQUIA,EL CARMEN DE VIBORAL,0.072,,,,,
ANTIOQUIA,ENTRERRIOS,,,,,192.87154229763425,
ANTIOQUIA,FREDONIA,,,,,198.59327380952377,
ANTIOQUIA,FRONTINO,,15.495032460360804,1396.0,20.31791337496424,171.460457080573,25.656847367400687
ANTIOQUIA,GIRALDO,,,,,149.29037698412696,
ANTIOQUIA,GIRARDOTA,4.586,,,,160.02453270388617,
ANTIOQUIA,GOMEZ PLATA,,,,,183.03205969105392,
ANTIOQUIA,GRANADA,,,,,249.6504770242946,
ANTIOQUIA,GUARNE,0.8502,,,,,
ANTIOQUIA,HELICONIA,,,,,195.2959058565955,
ANTIOQUIA,ITAGUI,0.97868,,,,,
ANTIOQUIA,ITUANGO,,,,,193.60601081950816,
ANTIOQUIA,JERICO,,,,,163.63659688013138,
ANTIOQUIA,LA ESTRELLA,0.0273,,,,,
ANTIOQUIA,LA PINTADA,,,,,157.75792786578893,
ANTIOQUIA,LA UNION,9.9,9.908188654394928,2408.0,14.865185763297928,249.1791057744937,20.446385583456784
ANTIOQUIA,LIBORINA,,,,,175.63747721511544,
ANTIOQUIA,MARINILLA,,,,,182.28306216931213,
ANTIOQUIA,MEDELLIN,22.51332,17.662649755942553,1490.0,23.05945009897806,198.378073648361,27.963917293098973
ANTIOQUIA,MONTEBELLO,,,,,185.98487285229857,
ANTIOQUIA,NECHI,,,,,121.96009168035029,
ANTIOQUIA,NECOCLI,,23.728740213632346,,,,
ANTIOQUIA,OLAYA,,,,,92.04078680897646,
ANTIOQUIA,PENOL,,13.27278990366239,1983.0,18.337066591390183,210.72720836950845,23.773580624899598
ANTIOQUIA,PUEBLORRICO,,,,,169.8300041050903,
ANTIOQUIA,PUERTO BERRIO,119.9,,,,134.2012681897967,
ANTIOQUIA,PUERTO NARE,200.0,,,,,
